,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,pluie,catnat,criminalite,pprn,chomage,rev_med
14,14852,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,402.0,2,1960.0,0.0,   .,13204,4,0.0,0.08332275558066343,0,12.075,18334.0
15,12901,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1614.0,1,1988.0,0.0,   .,84137,7,0.0,0.06136946884026402,0,11.975,17432.0
16,18277,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,460.0,2,1960.0,0.0,   2,83123,9,0.0,0.06109861819610085,0,11.1,22425.2
17,9210,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,750.0,2,1950.0,0.0,   5,13205,4,0.0,0.07696127724824814,4,11.675,18460.083333333336
18,16368,2013,"0,580821918",1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,eff,1,400.0,2,1970.0,0.0,   3,95176,1,0.0,0.07329069433597755,3,10.0,25726.5217391304
19,17910,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,850.0,3,1960.0,0.0,   4,93055,0,0.0,0.08588069164663209,0,13.1,16179.39393939394
20,17944,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,400.0,2,1949.0,0.3,   3,26064,12,0.0,0.05900604796325943,1,10.95,21669.0476190476
21,6127,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1129.0,1,1960.0,0.0,   .,73029,7,0.0,0.05970050623650331,17,7.7,23298.0
22,14116,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4565.0,4,1980.0,0.0,   .,06121,14,0.0,0.07059769088238117,3,10.55,22649.0
23,12668,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,400.0,4,1960.0,0.0,   5,06083,13,0.0,0.0784745334580591,5,10.225,19862.0
24,12161,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340.0,4,1980.0,0.0,   .,06088,14,0.0,0.07700920879672707,0,10.5,19010.0
25,13018,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1970.0,3,1960.0,0.0,   .,92024,0,0.0,0.06998949155484403,0,7.9,18424.44444444444
26,15928,2013,"0,378082192",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,6486.0,2,1980.0,0.0,   4,83070,9,1.0,0.06109861819610085,0,11.1,19194.0
27,18659,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1510.0,1,2011.0,0.0,   4,10387,1,1.0,0.0472599410922399,0,11.75,16667.0
28,18030,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,960.0,2,1960.0,0.0,   4,42218,6,0.0,0.04765715266636296,0,10.05,17781.714285714286
29,10352,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900.0,2,1950.0,0.6,   3,83154,9,0.0,0.05977376234377279,0,10.625,17450.555555555602
30,7036,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1876.0,3,1980.0,0.0,   .,83137,9,1.0,0.06109861819610085,0,11.1,18350.0
31,4607,2013,"0,41369863",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420.0,2,1960.0,0.0,   .,62108,2,0.0,0.04780559716899683,0,13.375,17398.039215686298
32,502,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,591.0,2,1960.0,0.0,   .,21231,1,0.0,0.04055153269890387,1,7.925,20281.3333333333
33,19725,2015,"0,334246575",0,V,N,3,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,2720.0,4,1974.0,0.6,   8,75118,0,0.0,0.1201819361809355,0,8.15,20942.0
34,13325,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,2,1980.0,0.0,   .,83070,9,32.0,0.05977376234377279,0,10.625,18581.4285714286
35,15867,2013,"0,161643836",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3350.0,2,1986.0,0.3,   5,62826,2,0.0,0.04780559716899683,0,13.375,24048.0
36,15969,2016,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3570.0,3,1980.0,0.0,>=10,94071,0,1.0,0.06592528685173105,0,8.825,25291.375
37,5842,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2210.0,2,1970.0,0.0,   3,63113,4,0.0,0.04077669601500118,0,8.65,18743.33333333333
38,11886,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,680.0,4,1960.0,0.0,   .,75117,0,0.0,0.1043697260714775,0,8.0,29032.0
39,18816,2013,"0,665753425",1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,5950.0,2,1992.0,0.0,   3,30351,17,0.0,0.05576233529414171,0,13.7,24825.3333333333
40,14074,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,885.0,2,1960.0,0.0,   .,51454,0,0.0,0.05544362765226903,14,9.9,18230.666666666668
41,13577,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,670.0,2,1960.0,0.0,   .,51454,0,0.0,0.05650637362637363,0,9.125,17693.3333333333
42,6168,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2000.0,2,1980.0,0.0,   .,63113,3,0.0,0.04413861994774858,0,8.7,18818.666666666664
43,14349,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1260.0,2,1960.0,0.0,   3,34192,21,2.0,0.06727662502551025,3,14.475,19170.0
44,17360,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1000.0,2,1990.0,0.3,   3,66182,7,1.0,0.0661623902954751,2,15.55,19037.666666666664
45,19922,2016,"0,579234973",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,500.0,2,1950.0,0.6,   1,09301,3,0.0,0.0424127996236942,0,12.05,16371.0
46,16428,2014,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,5346.0,1,2005.0,0.0,   5,59183,0,0.0,0.05921938088829071,0,12.925,18025.33333333333
47,7607,2014,1,0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,400.0,2,1925.0,0.6,   4,26362,14,0.0,0.05921159390094138,1,10.925,18206.5
48,4536,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,850.0,2,1960.0,0.0,   .,14118,0,1.0,0.04163332511509143,40,9.85,19554.8
49,10707,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820.0,2,1988.0,0.0,   .,68062,2,0.0,0.04377912315460169,0,9.8,25973.6
50,9744,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,520.0,2,1960.0,0.0,   .,13206,4,0.0,0.07696127724824814,4,11.675,20507.020833333336
51,7699,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1447.0,2,1980.0,0.0,   .,63113,6,0.0,0.04156168730372434,0,8.625,18613.5
52,15896,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1170.0,4,1919.0,0.3,   6,75115,0,0.0,0.1248164219334413,0,8.225,30246.66666666667
53,2490,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1427.0,2,1940.0,0.0,   6,13202,4,0.0,0.08332275558066343,0,12.075,13612.083333333301
54,2671,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3000.0,2,1991.0,0.6,   3,30133,29,0.0,0.05346528465590351,0,13.9,19173.33333333333
55,1322,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4480.0,2,1980.0,0.0,   .,68297,2,0.0,0.04377912315460169,0,9.8,21422.666666666668
56,11545,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,920.0,2,1960.0,0.0,   .,13205,3,0.0,0.08578364194793993,1,11.75,18172.6666666667
57,10686,2012,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,450.0,2,1900.0,0.0,   4,63113,3,0.0,0.03931408010130201,0,8.35,18317.0
58,8476,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,390.0,4,1960.0,0.0,   .,06159,13,0.0,0.0784745334580591,5,10.225,22830.8
59,15816,2013,1,0,V,N,2,O,2,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,19195.0,2,1970.0,0.0,   6,60057,0,39.0,0.05187883247485896,0,10.275,17442.5
60,1903,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1250.0,2,1980.0,0.0,   .,34324,13,0.0,0.06782983555574001,9,13.9,18423.375
61,6296,2012,"0,163934426",0,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,1300.0,2,1900.0,0.3,   3,09029,5,0.0,0.03740335770447475,0,11.625,15734.666666666699
62,2799,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100.0,2,1980.0,0.0,   .,68278,2,0.0,0.04377912315460169,0,9.8,23490.857142857145
63,14504,2012,"0,581967213",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1700.0,2,1980.0,0.0,   .,34301,17,0.0,0.0690906965025932,10,13.675,16502.0
64,15941,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4172.0,1,1989.0,0.0,   3,74012,4,0.0,0.04573587681180703,17,7.45,20077.857142857145
65,14284,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,2,1960.0,0.0,   .,30011,29,0.0,0.05346528465590351,0,13.9,22754.333333333336
66,13446,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,4,1960.0,0.0,   .,06088,14,0.0,0.07700920879672707,0,10.5,19010.0
67,12758,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1731.0,2,1980.0,0.0,   .,83047,9,0.0,0.05977376234377279,0,10.625,20824.2857142857
68,16735,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4045.0,2,2010.0,0.0,   5,59527,1,0.0,0.06128224038393153,0,12.7,20926.3333333333
69,6458,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,230.0,1,1980.0,0.0,   .,73054,5,0.0,0.06290830078009048,12,7.4,20091.8604651163
70,10098,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,1,1960.0,0.0,   .,13032,3,0.0,0.08578364194793993,1,11.75,27265.3333333333
71,11296,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1502.0,2,1988.0,0.0,   .,34154,8,33.0,0.06563975754113141,0,14.3,21874.666666666668
72,10770,2014,"0,832876712",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340.0,3,1960.0,0.0,   .,94052,0,0.0,0.0669812364335378,0,8.875,30012.0
73,17520,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3270.0,4,1980.0,0.0,   7,06014,7,0.0,0.07571782269687004,4,10.725,21096.666666666664
74,2056,2013,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,600.0,4,1920.0,0.0,   5,06159,13,0.0,0.0784745334580591,5,10.225,22830.8
75,2586,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2400.0,1,1980.0,0.0,   .,05061,2,0.0,0.04874073332713768,0,9.15,19690.0
76,4296,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1780.0,2,1990.0,0.6,   4,64430,6,78.0,0.0407719509556328,1,8.2,19334.0
77,13271,2013,"0,915068493",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400.0,2,1988.0,0.0,   .,83129,9,1.0,0.06109861819610085,0,11.1,21518.3333333333
78,70,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,2,1960.0,0.0,   .,13206,11,0.0,0.08028686949451888,0,11.9,20289.375
79,6897,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350.0,2,1980.0,0.0,   .,13206,3,0.0,0.08578364194793993,1,11.75,19690.0
80,4187,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,643.0,3,1960.0,0.0,   .,92025,0,0.0,0.06998949155484403,0,7.9,21158.0
81,11901,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,2,1980.0,0.0,   .,38071,14,0.0,0.05887035751935715,0,8.25,22572.5
82,15222,2016,"0,99726776",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,794.0,2,1900.0,0.0,   2,95219,0,0.0,0.06609827296810028,2,10.1,22398.194444444445
83,11119,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850.0,1,1950.0,0.0,   5,13004,4,0.0,0.08332275558066343,0,12.075,17464.6666666667
84,2593,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300.0,1,1980.0,0.0,   .,05177,8,0.0,0.04343121658999384,0,8.5,20545.0
85,10177,2012,"0,24863388",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6880.0,2,1988.0,0.0,   .,83099,9,0.0,0.05977376234377279,0,10.625,19636.4516129032
86,11743,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,9709.0,3,1960.0,0.0,   .,59368,0,0.0,0.05921938088829071,0,12.925,21510.5
87,16045,2012,"0,24863388",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,5500.0,2,1980.0,0.0,   6,83009,9,0.0,0.05977376234377279,0,10.625,22072.6666666667
88,10116,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,882.0,2,1950.0,0.0,   5,83137,9,1.0,0.06109861819610085,0,11.1,18350.0
89,3805,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1414.0,2,1980.0,0.0,   .,14437,0,0.0,0.04163332511509143,40,9.85,19439.33333333333
90,19077,2012,"0,836065574",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1441.0,1,1961.0,0.0,   4,10387,0,39.0,0.04679227502077839,0,10.75,16440.0
91,15833,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600.0,4,1970.0,0.3,   3,06157,12,0.0,0.08239911868053464,5,9.45,21216.0
92,16085,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2250.0,1,1980.0,0.0,   3,63075,3,0.0,0.04239839011831642,0,8.9,25796.0
93,13470,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,800.0,1,1960.0,0.6,   4,35238,0,0.0,0.04016366686807533,0,7.65,19845.1
94,4878,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4228.0,2,1970.0,0.0,   4,29105,0,0.0,0.03984149721056671,12,8.95,19474.884615384617
95,13093,2014,"0,665753425",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250.0,1,1988.0,0.0,   .,74010,4,0.0,0.04573587681180703,17,7.45,22012.0
96,7480,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,5500.0,4,2003.0,0.3,   4,06155,14,0.0,0.07700920879672707,0,10.5,19112.38095238095
97,13622,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250.0,3,1980.0,0.0,   .,94068,0,0.0,0.06598073825988518,0,8.2,28317.0
98,19090,2015,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3600.0,2,2008.0,0.0,   3,59367,1,0.0,0.06240619858915001,67,12.95,19833.33333333333
99,7301,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,1,650.0,2,1958.0,0.0,   4,68224,6,0.0,0.04183872111429336,28,9.925,15444.285714285701
100,10781,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,385.0,2,1960.0,0.0,   .,38517,12,0.0,0.05269172966702667,0,8.0,20004.230769230802
101,760,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1701.0,1,1960.0,0.0,   .,27299,1,0.0,0.03872000695248744,0,10.55,19677.142857142848
102,11415,2013,"0,452054795",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320.0,2,1980.0,0.0,   .,11262,8,33.0,0.05209700803284394,18,13.775,17245.0
103,13130,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450.0,3,1960.0,0.0,   .,94081,0,0.0,0.06598073825988518,0,8.2,17744.6666666667
104,19561,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,650.0,1,1990.0,0.6,   2,33009,1,0.0,0.05533950111012233,0,10.25,24034.5
105,9960,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4464.0,2,1980.0,0.0,   .,26220,14,0.0,0.05921159390094138,1,10.925,18342.916666666668
106,7601,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1064.0,2,1998.0,0.6,   4,66136,7,1.0,0.0661623902954751,2,15.55,16000.0
107,15282,2012,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,964.0,4,1900.0,0.0,   4,75113,0,0.0,0.1043697260714775,0,8.0,22758.8
108,17796,2015,"0,983561644",1,V,N,1,O,1,N,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300.0,1,2005.0,0.3,   3,74290,9,0.0,0.04589023324239424,4,7.6,20634.666666666668
109,7677,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800.0,2,1980.0,0.0,   .,83144,9,0.0,0.05977376234377279,0,10.625,20558.0952380952
110,10147,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400.0,2,1960.0,0.0,   .,69034,5,0.0,0.06754482111788489,54,9.15,24108.94736842105
111,106,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,4,1960.0,0.0,   .,75104,0,0.0,0.1043697260714775,0,8.0,30164.4
112,7873,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,820.0,2,1960.0,0.0,   .,64122,16,0.0,0.04032936931618822,19,8.6,21793.3333333333
113,5558,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7100.0,2,1980.0,0.0,   .,68278,2,0.0,0.04377912315460169,0,9.8,23490.857142857145
114,18463,2014,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,12582.0,3,1970.0,0.0,   8,92023,0,0.0,0.06860749669852356,0,7.8,25760.0
115,18695,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2000.0,4,1870.0,0.0,   6,75112,0,0.0,0.1248164219334413,0,8.225,26700.0
116,16147,2015,1,1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,pi,2,1260.0,4,1890.0,0.0,   6,75107,0,0.0,0.1201819361809355,0,8.15,41949.0
117,9798,2013,"0,271232877",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1200.0,2,1940.0,0.0,   7,13201,4,0.0,0.08332275558066343,0,12.075,13837.6923076923
118,6261,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,280.0,2,1955.0,0.6,   5,95582,0,0.0,0.06796007865787937,3,10.35,21905.0
119,267,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1445.0,2,1970.0,0.0,   4,64422,13,0.0,0.04119504740072116,0,8.675,19282.5
120,15429,2015,"0,997260274",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1556.0,1,1994.0,0.0,   4,86041,1,1.0,0.04241791545849841,18,8.4,21914.333333333336
121,6964,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,942.0,2,1980.0,0.0,   .,13202,3,0.0,0.08578364194793993,1,11.75,13111.333333333301
122,15368,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,800.0,2,1965.0,0.3,   3,57663,0,0.0,0.04261764295022551,0,10.65,18266.11111111111
123,6908,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2791.0,2,1960.0,0.0,   .,13001,3,0.0,0.08578364194793993,1,11.75,21888.0
124,12975,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700.0,2,1960.0,0.0,   .,59295,1,1.0,0.06128224038393153,0,12.7,17968.3333333333
125,3901,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,11380.0,4,1980.0,0.0,   7,06104,7,0.0,0.07571782269687004,4,10.725,23058.043478260868
126,780,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850.0,1,1960.0,0.0,   4,27229,1,0.0,0.03903659452311495,2,10.475,16822.5
127,5435,2014,"0,545205479",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,216.0,1,1988.0,0.0,   .,73137,6,0.0,0.05906906147229952,37,7.9,23458.214285714286
128,11689,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250.0,4,1960.0,0.0,   .,06083,14,0.0,0.07700920879672707,0,10.5,19889.33333333333
129,4622,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600.0,1,1988.0,0.0,   .,86041,1,78.0,0.03590314824030622,0,8.05,21011.5
130,11097,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850.0,2,1980.0,0.0,   3,83115,9,1.0,0.06217505902816187,0,11.4,20808.26086956522
131,9008,2014,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2973.0,4,1850.0,0.0,   6,75106,0,0.0,0.1248164219334413,0,8.225,38213.333333333336
132,11144,2012,"0,163934426",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,1,915.0,2,1960.0,0.0,   .,13207,3,0.0,0.08578364194793993,1,11.75,22626.3333333333
133,11987,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,800.0,1,1900.0,0.0,   4,35288,0,0.0,0.03996181707373887,23,7.8,20617.4
134,9799,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,318.0,4,1900.0,0.0,   4,06004,14,0.0,0.07700920879672707,0,10.5,21373.33333333333
135,2619,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,663.0,2,1960.0,0.0,   .,64256,13,0.0,0.04119504740072116,0,8.675,20218.4
136,940,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1572.0,1,1960.0,0.0,   .,87085,3,0.0,0.03474490894446822,0,9.675,18621.166666666664
137,7516,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,180.0,2,1960.0,0.0,   .,38416,4,0.0,0.05683559579603356,0,8.4,18227.333333333336
